year_month,forecast_food_inflation,FAO_CP_23012,FAO_CP_23013
2024-01,5.8090526523149535,85.50884729997209,84.47479996598898
2024-02,5.603627021684112,85.72535734986516,84.65939683847155
2024-03,5.4259897983563405,85.91257957704029,84.81902285866238
2024-04,5.257678555158485,86.08997260998572,84.97026848951461
2024-05,5.092497174871987,86.26406689791567,85.11870160421215
2024-06,4.92836619805059,86.43705410438778,85.26619081919324
2024-07,4.764587743838241,86.60966976672763,85.413363254954
2024-08,4.600927598631934,86.78216073630777,85.56042937743517
2024-09,4.437307158739699,86.9546098581423,85.70745982045038
2024-10,4.273700044223254,87.12704493558634,85.85447828919203
2024-11,4.110097401794349,87.29947529963655,86.00149273928531
2024-12,3.946496260228699,87.47190408183947,86.14850584069265
